N,ID,goalReachedFBON0,goalReachedFBON1,goalReachedFBON10,goalReachedFBON11,goalReachedFBON12,goalReachedFBON13,goalReachedFBON14,goalReachedFBON15,goalReachedFBON16,goalReachedFBON17,goalReachedFBON18,goalReachedFBON19,goalReachedFBON2,goalReachedFBON20,goalReachedFBON21,goalReachedFBON22,goalReachedFBON23,goalReachedFBON3,goalReachedFBON4,goalReachedFBON5,goalReachedFBON6,goalReachedFBON7,goalReachedFBON8,goalReachedFBON9
172,17100,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
173,17266,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
174,17391,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,11,0,0,0,0,12,0,0
175,17452,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
176,17525,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
177,17670,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
178,17706,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
179,17849,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
180,17998,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,8,0,0,0,0,9,0,0
181,18029,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
182,18186,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
183,18289,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
184,18347,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
185,18496,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
186,18594,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
187,18662,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
188,18740,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0
189,18889,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,10,0,0,0,0,9,0,0
190,18950,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
191,19057,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
192,19144,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
193,19278,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0
194,19330,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,9,0,0
195,19477,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
196,19525,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
197,19633,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0
198,19753,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
199,19852,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
200,19996,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
201,20007,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
202,20144,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
203,20212,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
204,20309,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
205,20498,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
206,20506,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,11,0,0,0,0,10,0,0
207,20667,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
208,20773,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
209,20826,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,12,0,0,0,0,12,0,0
210,20983,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,12,0,0,0,0,11,0,0
211,21052,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
212,21126,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
213,21206,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
214,21389,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,9,0,0
215,21400,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
216,21539,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
217,21633,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,9,0,0
218,21773,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
219,21840,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0
220,21915,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,10,0,0
221,22019,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,10,0,0,0,0,11,0,0
222,22102,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
223,22297,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,10,0,0,0,0,11,0,0
224,22304,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
225,22408,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
226,22507,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
227,22608,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
228,22732,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,9,0,0,0,0,10,0,0
229,22873,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
230,22978,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
231,23069,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
232,23126,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
233,23284,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,11,0,0,0,0,11,0,0
234,23328,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
235,23471,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
236,23561,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,11,0,0,0,0,10,0,0
237,23663,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,11,0,0,0,0,11,0,0
238,23770,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
239,23859,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
240,23921,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,0,0,0,0,10,0,0
241,24014,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,0,9,0,0,0,0,9,0,0
242,24107,0,0,0,0,0,0,0,11,0,0,0,10,0,0,0,0,10,0,0,0,0,11,0,0
243,24262,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,10,0,0,0,0,11,0,0
244,24339,0,0,0,0,0,0,0,10,0,0,0,11,0,0,0,0,11,0,0,0,0,10,0,0
245,24416,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,10,0,0,0,0,11,0,0
