N,ID,correct,fitness,incorrect
345,34458,27,11691.890166,12
346,34593,27,15992.219385,12
347,34666,28,8394.662871,12
348,34797,35,66948.897289,5
349,34827,33,58073.975025,7
350,34943,29,13356.382515,9
351,35041,28,16946.898560,12
352,35123,34,28681.455385,5
353,35297,31,45877.400473,9
354,35329,30,26997.065787,9
355,35478,29,40669.815183,11
356,35597,30,21525.623354,10
357,35627,28,41081.409729,12
358,35719,29,36052.300868,10
359,35867,27,33651.225276,13
360,35933,32,29110.951045,6
361,36022,26,16279.703649,12
362,36127,29,36091.524371,11
363,36205,26,40786.536279,11
364,36311,24,8612.429831,16
365,36473,21,6250.715880,18
366,36555,29,3205.815846,10
367,36691,32,71843.668300,8
368,36767,30,16472.724732,9
369,36887,31,9734.240936,9
370,36906,28,30871.520981,10
371,37048,32,39490.363694,8
372,37153,34,165962.794360,5
373,37211,28,18854.790407,10
374,37335,27,18664.259967,12
375,37444,30,30367.272196,10
376,37580,31,64815.818724,9
377,37605,27,12668.749610,13
378,37718,30,58774.470875,10
379,37832,33,39948.891903,7
380,37957,31,37374.484376,9
381,38086,29,20055.999817,9
382,38178,24,7749.982074,15
383,38216,26,97341.743800,14
384,38338,32,31317.932892,6
385,38445,29,19004.247676,10
386,38502,29,27419.504767,11
387,38601,27,36162.990764,12
388,38732,31,8014.034961,8
389,38869,30,28711.904655,9
390,38997,31,12577.182144,6
391,39013,26,20215.917950,11
392,39167,32,41373.740545,7
393,39264,29,73543.287387,11
394,39313,23,4421.499579,16
395,39409,28,15513.008480,11
396,39588,32,121860.550619,8
397,39655,24,40252.446947,15
398,39715,30,27937.401035,10
399,39874,29,19906.537192,11
400,39990,28,22972.511276,11
401,40035,30,23834.721321,9
402,40154,25,15012.824580,13
403,40275,28,44734.450739,11
404,40359,30,70309.264120,9
405,40461,30,31475.816107,9
406,40509,30,68692.690580,10
407,40696,26,13745.273099,14
408,40720,28,43908.847842,12
409,40847,31,19997.804873,8
410,40947,35,53814.213631,5
411,41056,26,53256.206240,14
412,41164,27,28820.621721,12
413,41228,27,23593.652184,13
414,41364,34,32384.944620,6
415,41404,25,11353.777063,13
416,41599,33,60467.330462,7
417,41656,30,79638.029444,10
418,41751,23,13303.431252,17
419,41853,32,44860.727444,8
420,41962,32,53768.045610,7
421,42035,33,113382.997889,7
422,42151,31,30511.710336,9
423,42242,28,6888.371258,12
424,42337,29,37811.122470,11
425,42420,29,9123.613681,9
426,42565,28,9238.038682,11
427,42604,28,18613.040844,11
428,42765,28,41165.503976,11
429,42832,27,17268.463826,11
430,42964,29,224288.797237,11
431,43011,27,11150.809308,12
432,43193,29,14796.323929,11
433,43210,24,22121.981038,16
434,43347,29,23163.434326,10
435,43495,27,20604.078790,12
436,43540,33,31006.340381,7
437,43692,33,51990.267099,6
438,43746,32,77406.445534,8
439,43875,33,109465.476931,7
440,43971,26,8099.087125,12
441,44090,34,205042.740830,6
442,44177,28,10479.981741,12
443,44223,31,75688.000042,9
444,44395,32,105656.476247,8
445,44423,29,18133.146595,10
446,44586,30,44492.876346,9
447,44613,30,24335.638862,10
448,44752,28,18980.049782,10
449,44805,30,19240.872575,9
450,44938,30,36718.084357,10
451,45061,25,15848.887795,14
452,45114,26,10136.092978,12
453,45229,24,26690.161859,16
454,45353,31,26640.981864,9
455,45444,32,36508.826458,7
456,45583,29,15492.318314,11
457,45632,30,10975.800241,8
458,45722,31,24578.733933,7
459,45873,25,29707.894730,15
460,45942,26,5281.784721,13
461,46035,32,26207.711696,8
462,46186,31,33881.065201,8
463,46230,30,21673.880180,9
464,46372,29,83997.443147,11
465,46414,25,19516.529984,13
466,46527,25,19005.526596,15
467,46615,24,20117.585227,15
468,46736,26,10195.142043,13
469,46814,30,34028.784322,9
470,46961,35,66483.520497,5
471,47017,27,39619.762931,12
472,47149,30,109530.945919,9
473,47251,31,83547.749122,9
474,47324,31,60826.893657,9
475,47403,28,9018.025062,11
476,47521,31,25833.155468,9
477,47623,30,24309.634791,9
478,47738,31,19415.822740,9
479,47870,24,64175.347246,16
480,47928,29,16501.477396,11
481,48051,31,75630.219949,9
482,48111,32,24730.139894,8
483,48247,27,7968.801698,12
484,48331,30,41159.401007,10
485,48449,29,52895.801107,11
486,48503,35,72404.015094,5
487,48622,31,32328.789223,9
488,48711,27,12698.037910,12
489,48812,30,126984.544211,10
490,48952,27,65742.677392,13
491,49092,30,12128.526217,9
492,49164,34,51694.472522,5
493,49287,24,28197.382070,16
494,49399,30,23369.816802,9
495,49499,29,13277.410475,11
496,49570,31,7747.623225,9
497,49635,32,21748.103453,6
498,49799,27,29607.545643,13
499,49884,31,12502.056710,8
500,49908,32,31362.047310,8
501,50090,27,28157.874080,12
502,50182,33,151571.615733,4
503,50230,29,43792.282225,11
504,50362,29,24658.151274,11
505,50483,36,203439.947131,4
506,50506,30,34863.126926,10
507,50625,34,47866.115046,4
508,50751,29,15811.021881,9
509,50864,33,30797.417441,6
510,50946,30,28243.925804,10
511,51039,27,53822.997289,12
512,51133,28,19894.429439,12
513,51234,32,80926.015282,8
514,51374,31,49507.282732,9
515,51452,26,19655.565747,14
516,51598,27,14943.784745,13
517,51686,30,82936.104129,10
518,51717,30,51680.847532,10
519,51816,31,41684.791175,8
520,51920,28,12871.786922,11
521,52024,26,33969.653130,11
522,52114,31,16108.568671,9
